complaint,department,sentiment,urgency,cleaned
High tension wire fallen on road dangerous residents suffering daily,Electricity,Negative,High,high tension wire fallen road dangerous resident suffering daily
Public toilet near market extremely dirty unusable this has been ignored for weeks,Sanitation,Negative,High,public toilet near market extremely dirty unusable ignored week
No drinking water in our locality urgent action needed,Water Supply,Negative,Critical,drinking water locality urgent action needed
Wires hanging low near playground dangerous this has been ignored for weeks,Electricity,Negative,High,wire hanging low near playground dangerous ignored week
Contaminated water supply causing illness please fix this soon,Water Supply,Negative,Medium,contaminated water supply causing illness please fix soon
Auto drivers charging extra fare misbehaving residents suffering daily,Transport,Negative,Low,auto driver charging extra fare misbehaving resident suffering daily
Open drainage near school health hazard children,Sanitation,Negative,High,open drainage near school health hazard child
Large pothole on main road causing accidents,Roads,Negative,Medium,large pothole main road causing accident
Tap water brown and smells bad undrinkable urgent action needed,Water Supply,Negative,Critical,tap water brown smell bad undrinkable urgent action needed
Drain overflow flooding our street after rain authorities not responding,Sanitation,Negative,High,drain overflow flooding street rain authority responding
Water tanker not coming for 5 days,Water Supply,Negative,High,water tanker coming day
Buses not following schedule during peak hours urgent action needed,Transport,Negative,Critical,bus following schedule peak hour urgent action needed
High tension wire fallen on road dangerous urgent action needed,Electricity,Negative,Critical,high tension wire fallen road dangerous urgent action needed
Dead animals near garbage dump not cleared residents suffering daily,Sanitation,Negative,High,dead animal near garbage dump cleared resident suffering daily
Manholes open without covers dangerous at night urgent action needed,Sanitation,Negative,Critical,manhole open without cover dangerous night urgent action needed
Buses not following schedule during peak hours authorities not responding,Transport,Negative,High,bus following schedule peak hour authority responding
Bus stop has no shelter no bench authorities not responding,Transport,Negative,High,bus stop shelter bench authority responding
No drinking water in our locality please fix this soon,Water Supply,Negative,Medium,drinking water locality please fix soon
Divider broken near school dangerous children please fix this soon,Roads,Negative,Medium,divider broken near school dangerous child please fix soon
Potholes making ambulance trips very difficult this has been ignored for weeks,Roads,Negative,High,pothole making ambulance trip difficult ignored week
Bus never arrives on time daily problem this has been ignored for weeks,Transport,Negative,High,bus never arrives time daily problem ignored week
Water supply cut off for 3 days urgent action needed,Water Supply,Negative,Critical,water supply cut day urgent action needed
Drain overflow flooding our street after rain please fix this soon,Sanitation,Negative,Medium,drain overflow flooding street rain please fix soon
Auto drivers charging extra fare misbehaving this has been ignored for weeks,Transport,Negative,High,auto driver charging extra fare misbehaving ignored week
Road dug for pipeline not restored for months,Roads,Negative,Medium,road dug pipeline restored month
Dangerous pothole near hospital entrance repair urgent action needed,Roads,Negative,Critical,dangerous pothole near hospital entrance repair urgent action needed
Auto drivers charging extra fare misbehaving,Transport,Negative,Low,auto driver charging extra fare misbehaving
Manholes open without covers dangerous at night please fix this soon,Sanitation,Negative,Medium,manhole open without cover dangerous night please fix soon
Wires hanging low near playground dangerous please fix this soon,Electricity,Negative,Medium,wire hanging low near playground dangerous please fix soon
