complaint,department,sentiment,urgency
High tension wire fallen on road dangerous residents suffering daily,Electricity,Negative,High
Public toilet near market extremely dirty unusable this has been ignored for weeks,Sanitation,Negative,High
No drinking water in our locality urgent action needed,Water Supply,Negative,Critical
Wires hanging low near playground dangerous this has been ignored for weeks,Electricity,Negative,High
Contaminated water supply causing illness please fix this soon,Water Supply,Negative,Medium
Auto drivers charging extra fare misbehaving residents suffering daily,Transport,Negative,Low
Open drainage near school health hazard children,Sanitation,Negative,High
Large pothole on main road causing accidents,Roads,Negative,Medium
Tap water brown and smells bad undrinkable urgent action needed,Water Supply,Negative,Critical
Drain overflow flooding our street after rain authorities not responding,Sanitation,Negative,High
Water tanker not coming for 5 days,Water Supply,Negative,High
Buses not following schedule during peak hours urgent action needed,Transport,Negative,Critical
High tension wire fallen on road dangerous urgent action needed,Electricity,Negative,Critical
Dead animals near garbage dump not cleared residents suffering daily,Sanitation,Negative,High
Manholes open without covers dangerous at night urgent action needed,Sanitation,Negative,Critical
Buses not following schedule during peak hours authorities not responding,Transport,Negative,High
Bus stop has no shelter no bench authorities not responding,Transport,Negative,High
No drinking water in our locality please fix this soon,Water Supply,Negative,Medium
Divider broken near school dangerous children please fix this soon,Roads,Negative,Medium
Potholes making ambulance trips very difficult this has been ignored for weeks,Roads,Negative,High
Bus never arrives on time daily problem this has been ignored for weeks,Transport,Negative,High
Water supply cut off for 3 days urgent action needed,Water Supply,Negative,Critical
Drain overflow flooding our street after rain please fix this soon,Sanitation,Negative,Medium
Auto drivers charging extra fare misbehaving this has been ignored for weeks,Transport,Negative,High
Road dug for pipeline not restored for months,Roads,Negative,Medium
Dangerous pothole near hospital entrance repair urgent action needed,Roads,Negative,Critical
Auto drivers charging extra fare misbehaving,Transport,Negative,Low
Manholes open without covers dangerous at night please fix this soon,Sanitation,Negative,Medium
Wires hanging low near playground dangerous please fix this soon,Electricity,Negative,Medium
Water supply cut off for 3 days this has been ignored for weeks,Water Supply,Negative,High
